frame,time_sec,x,y,x_rel
197,6.566667,272,438,24.000
198,6.600000,272,438,24.000
199,6.633333,272,438,24.000
200,6.666667,273,438,25.000
201,6.700000,273,438,25.000
202,6.733333,273,438,25.000
203,6.766667,274,438,26.000
204,6.800000,274,438,26.000
205,6.833333,274,438,26.000
206,6.866667,274,438,26.000
207,6.900000,275,438,27.000
208,6.933333,275,438,27.000
209,6.966667,275,438,27.000
210,7.000000,275,438,27.000
211,7.033333,275,438,27.000
212,7.066667,275,438,27.000
213,7.100000,275,438,27.000
214,7.133333,275,438,27.000
215,7.166667,275,438,27.000
216,7.200000,275,438,27.000
217,7.233333,275,438,27.000
218,7.266667,275,438,27.000
219,7.300000,275,438,27.000
220,7.333333,275,438,27.000
221,7.366667,275,438,27.000
222,7.400000,275,438,27.000
223,7.433333,275,438,27.000
224,7.466667,275,438,27.000
225,7.500000,275,438,27.000
226,7.533333,275,438,27.000
227,7.566667,275,438,27.000
228,7.600000,275,438,27.000
229,7.633333,275,438,27.000
230,7.666667,275,438,27.000
231,7.700000,275,438,27.000
232,7.733333,275,438,27.000
233,7.766667,275,438,27.000
234,7.800000,275,438,27.000
235,7.833333,275,438,27.000
236,7.866667,275,438,27.000
237,7.900000,275,438,27.000
238,7.933333,275,438,27.000
239,7.966667,275,438,27.000
240,8.000000,275,438,27.000
241,8.033333,275,438,27.000
242,8.066667,275,438,27.000
243,8.100000,275,438,27.000
244,8.133333,275,438,27.000
245,8.166667,275,438,27.000
246,8.200000,275,438,27.000
247,8.233333,275,438,27.000
248,8.266667,275,438,27.000
249,8.300000,275,438,27.000
250,8.333333,275,438,27.000
251,8.366667,275,438,27.000
252,8.400000,275,438,27.000
253,8.433333,275,438,27.000
254,8.466667,275,438,27.000
255,8.500000,275,438,27.000
256,8.533333,275,438,27.000
257,8.566667,275,438,27.000
258,8.600000,275,438,27.000
259,8.633333,275,438,27.000
260,8.666667,275,438,27.000
261,8.700000,275,438,27.000
262,8.733333,275,438,27.000
263,8.766667,275,438,27.000
264,8.800000,275,438,27.000
265,8.833333,275,438,27.000
266,8.866667,275,438,27.000
267,8.900000,275,438,27.000
268,8.933333,275,438,27.000
269,8.966667,275,438,27.000
270,9.000000,275,438,27.000
271,9.033333,275,438,27.000
272,9.066667,275,438,27.000
273,9.100000,275,438,27.000
274,9.133333,275,438,27.000
275,9.166667,275,438,27.000
276,9.200000,275,438,27.000
277,9.233333,275,438,27.000
278,9.266667,275,438,27.000
279,9.300000,275,438,27.000
280,9.333333,275,438,27.000
281,9.366667,275,438,27.000
282,9.400000,275,438,27.000
283,9.433333,275,438,27.000
284,9.466667,275,438,27.000
285,9.500000,275,438,27.000
286,9.533333,275,438,27.000
287,9.566667,274,438,26.000
288,9.600000,274,438,26.000
289,9.633333,274,438,26.000
290,9.666667,273,438,25.000
291,9.700000,273,438,25.000
292,9.733333,272,438,24.000
293,9.766667,271,438,23.000
294,9.800000,270,438,22.000
295,9.833333,269,438,21.000
296,9.866667,268,438,20.000
297,9.900000,267,438,19.000
298,9.933333,266,438,18.000
299,9.966667,264,438,16.000
300,10.000000,263,438,15.000
301,10.033333,262,438,14.000
302,10.066667,260,438,12.000
303,10.100000,259,439,11.000
304,10.133333,257,438,9.000
305,10.166667,256,439,8.000
306,10.200000,255,439,7.000
307,10.233333,254,439,6.000
308,10.266667,253,439,5.000
309,10.300000,252,439,4.000
310,10.333333,251,439,3.000
311,10.366667,250,439,2.000
312,10.400000,250,439,2.000
313,10.433333,250,439,2.000
314,10.466667,250,439,2.000
315,10.500000,250,439,2.000
316,10.533333,250,439,2.000
317,10.566667,250,439,2.000
318,10.600000,251,439,3.000
319,10.633333,252,439,4.000
320,10.666667,252,439,4.000
321,10.700000,253,439,5.000
322,10.733333,254,439,6.000
323,10.766667,255,439,7.000
324,10.800000,255,439,7.000
325,10.833333,256,439,8.000
326,10.866667,257,439,9.000
327,10.900000,257,439,9.000
328,10.933333,257,439,9.000
329,10.966667,258,439,10.000
330,11.000000,258,439,10.000
331,11.033333,258,439,10.000
332,11.066667,258,439,10.000
333,11.100000,257,439,9.000
334,11.133333,257,439,9.000
335,11.166667,256,439,8.000
336,11.200000,256,439,8.000
337,11.233333,255,439,7.000
338,11.266667,254,439,6.000
339,11.300000,253,439,5.000
340,11.333333,253,439,5.000
341,11.366667,252,439,4.000
342,11.400000,251,439,3.000
343,11.433333,250,439,2.000
344,11.466667,250,439,2.000
345,11.500000,249,439,1.000
346,11.533333,249,439,1.000
347,11.566667,249,439,1.000
348,11.600000,248,439,0.000
349,11.633333,248,439,0.000
350,11.666667,248,439,0.000
351,11.700000,248,439,0.000
352,11.733333,249,439,1.000
353,11.766667,249,439,1.000
354,11.800000,249,439,1.000
355,11.833333,249,439,1.000
356,11.866667,250,439,2.000
357,11.900000,250,439,2.000
358,11.933333,249,439,1.000
359,11.966667,249,439,1.000
360,12.000000,248,439,0.000
361,12.033333,248,439,0.000
362,12.066667,247,439,-1.000
363,12.100000,246,439,-2.000
364,12.133333,245,439,-3.000
365,12.166667,245,439,-3.000
366,12.200000,244,439,-4.000
367,12.233333,245,439,-3.000
368,12.266667,245,439,-3.000
369,12.300000,246,439,-2.000
370,12.333333,247,439,-1.000
371,12.366667,247,439,-1.000
372,12.400000,248,439,0.000
373,12.433333,248,439,0.000
374,12.466667,248,439,0.000
375,12.500000,247,439,-1.000
376,12.533333,246,439,-2.000
377,12.566667,246,439,-2.000
378,12.600000,245,439,-3.000
379,12.633333,245,439,-3.000
380,12.666667,245,439,-3.000
381,12.700000,245,439,-3.000
382,12.733333,246,439,-2.000
383,12.766667,247,439,-1.000
384,12.800000,247,439,-1.000
385,12.833333,248,439,0.000
386,12.866667,248,439,0.000
387,12.900000,248,439,0.000
388,12.933333,247,439,-1.000
389,12.966667,247,439,-1.000
390,13.000000,246,439,-2.000
391,13.033333,245,439,-3.000
392,13.066667,245,439,-3.000
393,13.100000,245,439,-3.000
394,13.133333,245,439,-3.000
395,13.166667,246,439,-2.000
396,13.200000,247,439,-1.000
397,13.233333,247,439,-1.000
398,13.266667,248,439,0.000
399,13.300000,248,439,0.000
400,13.333333,248,439,0.000
401,13.366667,247,439,-1.000
402,13.400000,247,439,-1.000
403,13.433333,246,439,-2.000
404,13.466667,246,439,-2.000
405,13.500000,245,439,-3.000
406,13.533333,245,439,-3.000
407,13.566667,245,439,-3.000
408,13.600000,246,439,-2.000
409,13.633333,246,439,-2.000
410,13.666667,247,439,-1.000
411,13.700000,247,439,-1.000
412,13.733333,247,439,-1.000
413,13.766667,247,439,-1.000
414,13.800000,247,439,-1.000
415,13.833333,247,439,-1.000
416,13.866667,246,439,-2.000
417,13.900000,246,439,-2.000
418,13.933333,245,439,-3.000
419,13.966667,245,439,-3.000
420,14.000000,245,439,-3.000
421,14.033333,246,439,-2.000
422,14.066667,246,439,-2.000
423,14.100000,246,439,-2.000
424,14.133333,247,439,-1.000
425,14.166667,247,439,-1.000
426,14.200000,247,439,-1.000
427,14.233333,247,439,-1.000
428,14.266667,247,439,-1.000
429,14.300000,246,439,-2.000
430,14.333333,246,439,-2.000
431,14.366667,246,439,-2.000
432,14.400000,246,439,-2.000
433,14.433333,246,439,-2.000
434,14.466667,246,439,-2.000
435,14.500000,246,439,-2.000
436,14.533333,247,439,-1.000
437,14.566667,247,439,-1.000
438,14.600000,247,439,-1.000
439,14.633333,247,439,-1.000
440,14.666667,247,439,-1.000
441,14.700000,247,439,-1.000
442,14.733333,247,439,-1.000
443,14.766667,246,439,-2.000
444,14.800000,246,439,-2.000
445,14.833333,246,439,-2.000
446,14.866667,246,439,-2.000
447,14.900000,246,439,-2.000
448,14.933333,246,439,-2.000
449,14.966667,247,439,-1.000
450,15.000000,247,439,-1.000
451,15.033333,247,439,-1.000
452,15.066667,247,439,-1.000
453,15.100000,247,439,-1.000
454,15.133333,247,439,-1.000
455,15.166667,247,439,-1.000
456,15.200000,246,439,-2.000
457,15.233333,246,439,-2.000
458,15.266667,246,439,-2.000
459,15.300000,246,439,-2.000
460,15.333333,246,439,-2.000
461,15.366667,246,439,-2.000
462,15.400000,247,439,-1.000
463,15.433333,247,439,-1.000
464,15.466667,247,439,-1.000
465,15.500000,247,439,-1.000
466,15.533333,247,439,-1.000
